country_code,facility_name,geocode_confidence,geocode_method,latitude,longitude
GH,37 Military Hospital,high,facility_name,5.5868921,-0.1850474
GH,37 Military Hospital,high,facility_name,5.5868921,-0.1850474
GH,Accra Medical Centre,high,facility_name,5.5693943,-0.1864212
GH,Accra Medical Centre,high,facility_name,5.5693943,-0.1864212
GH,Accra Medical Centre,high,facility_name,5.5693943,-0.1864212
GH,Accra Physiotherapy & Sports Injury Clinic,high,facility_name,5.6133632,-0.2153329
GH,Accra Psychiatric Hospital,high,facility_name,5.5633229,-0.2045791
GH,Accra Psychiatric Hospital,high,facility_name,5.5633229,-0.2045791
GH,Achimota Hospital,high,facility_name,5.6298307,-0.2171964
GH,Adenta Clinic,high,facility_name,5.7060649,-0.1681089
GH,"Agogo Presbyterian Hospital, Asante Akim North, Agogo",high,facility_name,6.7965698,-1.0855078
GH,Agyakwa Hospital,high,facility_name,6.5383038,-0.7672659
GH,Agyakwa Hospital - Nkawkaw,high,facility_name,6.5383038,-0.7672659
