id,facility_name,country,country_code,text_content,specialties,has_icu,has_emergency,source_url,latitude,longitude
SL_yonibana_chp,yonibana CHP,null,SL,yonibana CHP hospital SL,null,true,true,https://www.openstreetmap.org/node/8688476719,8.4393666,-12.2435889
LR_robersport_etu,Robersport ETU,null,LR,Robersport ETU hospital LR,null,true,true,https://www.openstreetmap.org/node/3198032317,6.75,-11.367
MG_hopitaly_loterana_andranomadio,Hopitaly Loterana Andranomadio,null,MG,Hopitaly Loterana Andranomadio hospital MG,null,true,true,https://www.openstreetmap.org/node/4587769790,-19.8639262,47.0317008
NE_centre_hospitalier_de_magaria,Centre Hospitalier de Magaria,null,NE,Centre Hospitalier de Magaria hospital NE,null,true,true,https://www.openstreetmap.org/node/3091098183,12.9962137,8.9106039
NE_healthcare_facility_4618858184,Healthcare Facility 4618858184,null,NE,Healthcare Facility 4618858184 hospital NE,null,true,true,https://www.openstreetmap.org/node/4618858184,13.2152795,12.0240235
NE_csi_makouaroua,CSI Makouaroua,null,NE,CSI Makouaroua hospital NE,null,true,true,https://www.openstreetmap.org/node/8001331104,12.7917349,3.8527995
NE_csi_magama,CSI Magama,null,NE,CSI Magama hospital NE,null,true,true,https://www.openstreetmap.org/node/10565110392,13.5938678,2.1042371
ML_infirm_rie_garnison_base_a_rienne_101_senou,Infirmérie Garnison Base Aérienne 101 Senou,null,ML,Infirmérie Garnison Base Aérienne 101 Senou hospital ML,null,true,true,https://www.openstreetmap.org/node/4281287096,12.5324472,-7.9368453
UG_kumi_health_centre_grade_iii,Kumi Health Centre Grade III,null,UG,Kumi Health Centre Grade III hospital UG,null,true,true,https://www.openstreetmap.org/node/2142776813,1.4879504,33.9361388
MW_mvera_mission_hospital,Mvera Mission Hospital,null,MW,Mvera Mission Hospital hospital MW,null,true,true,https://www.openstreetmap.org/node/476497668,-13.7301317,34.1245453
MW_milepa_health_centre,Milepa Health Centre,null,MW,Milepa Health Centre hospital MW,null,true,true,https://www.openstreetmap.org/node/1612918621,-15.6867096,35.3910155
BF_csps_urbain_de_kombissiri,CSPS urbain de KOMBISSIRI,null,BF,CSPS urbain de KOMBISSIRI hospital BF,null,true,true,https://www.openstreetmap.org/node/5714864332,12.0620441,-1.3338494
BF_csps_de_kombori,CSPS de Kombori,null,BF,CSPS de Kombori hospital BF,null,true,true,https://www.openstreetmap.org/node/6431481878,13.4318761,-3.9411682
RW_healthcare_facility_1396163507,Healthcare Facility 1396163507,null,RW,Healthcare Facility 1396163507 hospital RW,null,true,true,https://www.openstreetmap.org/node/1396163507,-2.1685079,30.5467055
RW_post_de_dante_karembure,Post de Dante Karembure,null,RW,Post de Dante Karembure hospital RW,null,true,true,https://www.openstreetmap.org/node/10931602986,-2.0154887,30.0887325
RW_healthcare_facility_11658226928,Healthcare Facility 11658226928,null,RW,Healthcare Facility 11658226928 hospital RW,null,true,true,https://www.openstreetmap.org/node/11658226928,-1.9800117,30.1494162
ET_dilchora_hospital,Dilchora Hospital,null,ET,Dilchora Hospital hospital ET,null,true,true,https://www.openstreetmap.org/node/4800340422,9.5880776,41.859517
SL_rural_kenema_field_hospital,Rural Kenema Field Hospital,null,SL,Rural Kenema Field Hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/3106738524,8.005,-11.116
SL_lakka_hospital_etu,Lakka Hospital ETU,null,SL,Lakka Hospital ETU hospital SL,null,true,true,https://www.openstreetmap.org/node/3197529888,8.397,-13.264
SL_princess_christian_maternity_hospital,Princess Christian Maternity Hospital,null,SL,Princess Christian Maternity Hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/3212073781,8.4898614,-13.2193483
LR_damballa_health_center,Damballa Health Center,null,LR,Damballa Health Center hospital LR,null,true,true,https://www.openstreetmap.org/node/4131217592,7.137192,-11.2819257
MG_healthcare_facility_5203765810,Healthcare Facility 5203765810,null,MG,Healthcare Facility 5203765810 hospital MG,null,true,true,https://www.openstreetmap.org/node/5203765810,-21.4620967,47.1105907
MG_clinique_fidy,Clinique Fidy,null,MG,Clinique Fidy hospital MG,null,true,true,https://www.openstreetmap.org/node/5841547590,-18.8893326,47.5391722
MG_centre_hospitalier_de_r_f_rence_r_gional_de_farafangana,Centre Hospitalier de Référence Régional de Farafangana,null,MG,Centre Hospitalier de Référence Régional de Farafangana hospital MG,null,true,true,https://www.openstreetmap.org/node/6785763444,-22.8226096,47.8304779
ML_clinique_espoir,Clinique Espoir,null,ML,Clinique Espoir hospital ML,null,true,true,https://www.openstreetmap.org/node/2525525616,12.5757582,-7.9584097
UG_kololo_hospital_kampala_ltd_,Kololo Hospital Kampala Ltd.,null,UG,Kololo Hospital Kampala Ltd. hospital UG,null,true,true,https://www.openstreetmap.org/node/582857059,0.333829,32.5891586
MW_neno_district_hospital,Neno District Hospital,null,MW,Neno District Hospital hospital MW,null,true,true,https://www.openstreetmap.org/node/1096948266,-15.3951824,34.6533534
MW_makungwa_health_centre,Makungwa Health Centre,null,MW,Makungwa Health Centre hospital MW,null,true,true,https://www.openstreetmap.org/node/1693602252,-15.9394923,35.0266549
RW_healthcare_facility_1394026580,Healthcare Facility 1394026580,null,RW,Healthcare Facility 1394026580 hospital RW,null,true,true,https://www.openstreetmap.org/node/1394026580,-2.4808932,29.528319
RW_healthcare_facility_1415802646,Healthcare Facility 1415802646,null,RW,Healthcare Facility 1415802646 hospital RW,null,true,true,https://www.openstreetmap.org/node/1415802646,-1.6817829,29.6312509
ET_health_center,Health Center,null,ET,Health Center hospital ET,null,true,true,https://www.openstreetmap.org/node/1298133865,9.2010727,36.5111602
SL_holy_spirit_hospital,Holy Spirit Hospital,null,SL,Holy Spirit Hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/4861866411,8.8921534,-12.0364124
SL_tyler_perry_town_kabala,"Tyler Perry Town, Kabala",null,SL,"Tyler Perry Town, Kabala hospital SL",null,true,true,https://www.openstreetmap.org/node/7660776285,9.5478926,-11.5673182
LR_healthcare_facility_2755607675,Healthcare Facility 2755607675,null,LR,Healthcare Facility 2755607675 hospital LR,null,true,true,https://www.openstreetmap.org/node/2755607675,6.3531302,-10.469522
MG_h_pital_de_soalala,Hôpital de Soalala,null,MG,Hôpital de Soalala hospital MG,null,true,true,https://www.openstreetmap.org/node/663455768,-16.1022947,45.3258722
MG_hoptital_d_ambohimiandra,Hoptital d'Ambohimiandra,null,MG,Hoptital d'Ambohimiandra hospital MG,null,true,true,https://www.openstreetmap.org/node/721751405,-18.9304218,47.5434822
MG_healthcare_facility_4896455021,Healthcare Facility 4896455021,null,MG,Healthcare Facility 4896455021 hospital MG,null,true,true,https://www.openstreetmap.org/node/4896455021,-18.906817,47.5227739
NE_csi_nayi_lawan,CSI Nayi Lawan,null,NE,CSI Nayi Lawan hospital NE,null,true,true,https://www.openstreetmap.org/node/4462355156,13.3854499,11.9748638
